Name,Latitude,Longitude
A Coruña,43.125795822883305,-8.464283686798327
Alacant,38.478637804943425,-0.5686990683756445
Albacete,38.8254086191791,-1.980373269353807
Almería,37.19608521207564,-2.3448128002965896
Araba,42.835126435304254,-2.7206034692117704
Asturias,43.29235786104903,-5.9935093254671665
Badajoz,38.709770738056214,-6.141585219809658
Barcelona,41.7310008895119,1.984054017715136
Bizkaia,43.23767970568332,-2.852600079260944
Burgos,42.36871272668361,-3.58574245566792
Cantabria,43.197522048420225,-4.030021220381711
Castelló,40.24137058520922,-0.14677708693701783
Ceuta,35.8934069862893,-5.343424038905552
Ciudad Real,38.92561282542557,-3.8280976489379355
Cuenca,39.8960496845632,-2.195671532743376
Cáceres,39.71188996070259,-6.160821949965872
Cádiz,36.553872919524984,-5.760418375197445
Córdoba,37.99269444085807,-4.80926161095131
Gipuzcoa,43.14377591165932,-2.194178457094206
Girona,42.12801171185364,2.673555932697365
Granada,37.31251696715045,-3.267881077324013
Guadalajara,40.81344956543402,-2.623688783705409
Huelva,37.57717940214885,-6.829302210311187
Huesca,42.20305573706777,-0.07288659435823892
Illes Balears,39.5751889864337,2.912291720786382
Jaén,38.01651227834432,-3.4416921517106593
La Rioja,42.27487069583698,-2.517044119397868
Las Palmas,28.36249282164502,-14.550993392353112
León,42.61995524386191,-5.839881026286367
Lleida,42.04396866978686,1.047982061037249
Lugo,43.011763999990194,-7.446384047639179
Madrid,40.49508737438367,-3.7170461921521016
Melilla,35.290827994875116,-2.9505355233680146
Murcia,38.00236816525836,-1.4857562933156545
Málaga,36.81385916513853,-4.725861956033466
Navarra,42.66720115092862,-1.646114144425168
Ourense,42.19645030017557,-7.5925979093701335
Palencia,42.37183385462008,-4.535857175378465
Pontevedra,42.43576470603552,-8.461062947383821
Salamanca,40.80498921616015,-6.065412247732902
Santa Cruz de Tenerife,28.312556767820585,-17.01785674301484
Segovia,41.171025406486336,-4.054150577827883
Sevilla,37.43566991354403,-5.6827730303151744
Soria,41.620774250445976,-2.5887430473890376
Tarragona,41.08761439569034,0.8181278633144329
Teruel,40.66126196153622,-0.815532258446232
Toledo,39.79373416136847,-4.148155625954323
Valladolid,41.63412606949866,-4.847191411413968
València,39.37025623753239,-0.800789615081263
Zamora,41.72717439613007,-5.9805392552151115
Zaragoza,41.62036480188745,-1.0644967814401014
Ávila,40.571036749224014,-4.945535056189091
